"","date","indicator","X1Y","X2Y","X3Y","X4Y","X5Y","X7Y","X10Y"
"199",2008-04-15,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"200",2008-04-16,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"201",2008-04-17,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"202",2008-04-18,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"203",2008-04-21,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"204",2008-04-22,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"205",2008-04-23,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"206",2008-04-24,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"207",2008-04-25,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"208",2008-04-28,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"209",2008-04-29,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"210",2008-04-30,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"211",2008-05-01,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"212",2008-05-02,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"213",2008-05-05,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"214",2008-05-06,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"215",2008-05-07,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"216",2008-05-08,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"217",2008-05-09,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"218",2008-05-12,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"219",2008-05-13,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"220",2008-05-14,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"221",2008-05-15,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"222",2008-05-16,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"223",2008-05-19,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"224",2008-05-20,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"225",2008-05-21,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"226",2008-05-22,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"227",2008-05-23,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"228",2008-05-26,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"229",2008-05-27,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"230",2008-05-28,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
