Date,3M 
12/12/2008,19.25
12/11/2008,19.25
12/10/2008,19.25
12/9/2008,19.25
12/8/2008,19.25
12/5/2008,19.25
12/4/2008,19.25
12/3/2008,19.25
12/2/2008,19.25
12/1/2008,19.25
11/28/2008,19.25
11/27/2008,19.25
11/26/2008,19.25
11/25/2008,12.1
11/24/2008,12.1
11/21/2008,12.1
11/20/2008,12.1
11/19/2008,12.1
11/18/2008,12.1
11/17/2008,12.1
11/14/2008,12.1
11/13/2008,12.1
11/12/2008,12.1
11/11/2008,12.1
11/10/2008,12.1
11/7/2008,12.1
11/6/2008,12.1
11/5/2008,12.1
11/4/2008,10.56
11/3/2008,10.56
10/31/2008,10.56
10/30/2008,10.56
10/29/2008,10.56
10/28/2008,10.56
10/27/2008,10.56
10/24/2008,10.56
10/23/2008,10.56
10/22/2008,10.56
10/21/2008,10.56
10/20/2008,10.56
10/17/2008,8.28
10/16/2008,8.28
10/15/2008,8.28
10/14/2008,8.28
10/13/2008,8.28
10/10/2008,8.28
10/9/2008,8.28
10/8/2008,8.28
10/7/2008,8.28
10/6/2008,8.28
10/3/2008,8.28
10/2/2008,8.28
10/1/2008,8.28
9/30/2008,8.28
9/29/2008,8.28
9/26/2008,8.28
9/25/2008,9.24
9/24/2008,9.01
9/23/2008,9.01
9/22/2008,8.72
9/19/2008,8.72
9/18/2008,11.19
9/17/2008,11.02
9/16/2008,12.37
9/15/2008,11.45
9/12/2008,11.45
9/11/2008,11.45
9/10/2008,5.75
9/9/2008,5.75
9/8/2008,5.75
9/5/2008,5.75
9/4/2008,5.75
9/3/2008,5.75
9/2/2008,5.75
9/1/2008,5.75
8/29/2008,5.75
8/28/2008,5.75
8/27/2008,5.72
8/26/2008,5.72
8/25/2008,5.72
8/22/2008,5.72
8/21/2008,5.72
8/20/2008,5.72
8/19/2008,5.72
8/18/2008,5.72
8/15/2008,5.72
8/14/2008,5.72
8/13/2008,5.72
8/12/2008,5.54
8/11/2008,5.3
8/8/2008,5.05
8/7/2008,5.45
8/6/2008,5.45
8/5/2008,5.45
8/4/2008,5.25
8/1/2008,5.03
7/31/2008,5.03
7/30/2008,5.03
7/29/2008,5.03
7/28/2008,5.07
7/25/2008,4.95
7/24/2008,5.43
7/23/2008,7.09
7/22/2008,7.09
7/21/2008,7.09
7/18/2008,7.09
7/17/2008,7.09
7/16/2008,7.09
7/15/2008,7.09
7/14/2008,10.09
7/11/2008,10.09
7/10/2008,10.38
7/9/2008,12.94
7/8/2008,17.29
7/7/2008,17.29
7/4/2008,17.29
7/3/2008,17.29
7/2/2008,17.29
7/1/2008,15.05
6/30/2008,12.06
6/27/2008,11.3
6/26/2008,13.23
6/25/2008,13.23
6/24/2008,13.23
6/23/2008,10.07
6/20/2008,10.07
6/19/2008,9.74
6/18/2008,9.98
6/17/2008,13.68
6/16/2008,14.66
6/13/2008,14.66
6/12/2008,14.02
6/11/2008,15.83
6/10/2008,17.55
6/9/2008,17.55
6/6/2008,17.55
6/5/2008,17.55
6/4/2008,17.55
