Date,1Y ,2Y,3Y,4Y,5Y,7Y,10Y
2/11/2013,0.925,1.2125,1.725,2,2.2,2.625,3.025
2/8/2013,0.925,1.225,1.725,1.975,2.2,2.6,3
2/7/2013,0.925,1.225,1.55,1.9,2.125,2.225,2.825
2/6/2013,0.925,1.225,1.55,1.9,2.125,2.225,2.825
2/5/2013,0.85,1.1,1.45,1.75,1.95,2.175,2.825
2/4/2013,0.85,1.1,1.45,1.75,1.95,2.175,2.825
2/1/2013,0.875,1.075,1.4125,1.7,1.9125,2.175,2.825
1/31/2013,0.825,1.075,1.4,1.725,1.8375,2.175,2.75
1/30/2013,0.825,1.075,1.4,1.725,1.8375,2.175,2.75
1/29/2013,0.875,1.1,1.375,1.675,1.825,2.175,2.75
1/28/2013,0.725,0.925,1.2,1.5,1.65,2,2.75
1/25/2013,0.725,0.925,1.2,1.5,1.665,2,2.75
1/24/2013,0.725,0.925,1.25,1.55,1.7,2.2,2.75
1/23/2013,0.7,0.95,1.275,1.6,1.725,2.2,2.75
1/22/2013,0.725,0.95,1.225,1.575,1.75,2.15,2.75
1/21/2013,0.55,0.75,0.9875,1.3125,1.525,1.975,2.675
1/18/2013,0.575,0.75,0.975,1.3125,1.525,1.975,2.675
1/17/2013,0.575,0.775,0.975,1.3,1.525,1.975,2.675
1/16/2013,0.575,0.775,1.05,1.35,1.525,1.975,2.675
1/15/2013,0.575,0.775,1.05,1.325,1.525,1.975,2.675
1/14/2013,0.575,0.8,1.1,1.325,1.5,1.95,2.875
1/11/2013,0.625,0.9,1.15,1.35,1.4875,1.975,2.6
1/10/2013,0.65,0.975,1.125,1.375,1.5125,1.975,2.675
1/9/2013,0.775,1.1,1.225,1.4,1.55,1.975,2.75
1/8/2013,0.85,1.2025,1.325,1.525,1.575,2.125,2.75
1/7/2013,0.9,1.215,1.4125,1.5,1.65,2.1,2.55
1/4/2013,0.9,1.2125,1.35,1.45,1.6,1.925,2.65
1/3/2013,0.8,1.2,1.325,1.425,1.6,1.85,2.65
1/2/2013,0.825,1.2375,1.3375,1.45,1.6,1.875,2.55
1/1/2013,0.9,1.25,1.3125,1.375,1.55,1.6,2.05
12/31/2012,0.9,1.25,1.3125,1.375,1.55,1.6,2.05
12/28/2012,0.9,1.25,1.3125,1.375,1.55,1.6,2.05
12/27/2012,1,1.2125,1.325,1.425,1.575,1.825,2.6
12/26/2012,0.975,1.1625,1.2625,1.3375,1.5125,1.775,2.55
12/25/2012,0.975,1.1625,1.2375,1.3375,1.5375,1.775,2.55
12/24/2012,0.975,1.1625,1.2375,1.3375,1.5375,1.775,2.55
12/21/2012,0.975,1.1625,1.2375,1.3375,1.5375,1.775,2.55
12/20/2012,0.975,1.25,1.35,1.45,1.575,1.85,2.5
12/19/2012,0.975,1.175,1.275,1.375,1.5,1.875,2.5
