Index,Open,High,Low,Close,Volume,Adjusted
2010-05-11,125.21,128.42,125.15,126.89,6498900,117.22
2010-05-12,127.16,132.85,127.01,132.68,16626900,122.57
2010-05-13,130.93,133.1,130.85,131.48,10497800,121.46
2010-05-14,131.06,131.67,129.41,131.19,9920100,121.2
2010-05-17,130.68,131.76,128.7,130.44,8923400,120.5
2010-05-18,131.26,131.99,129.9,129.95,9330000,120.05
2010-05-19,129.37,130.5,127.82,128.86,8669300,119.04
2010-05-20,127.22,127.96,123.68,123.8,13176500,114.37
2010-05-21,122.16,125.61,121.4,125.42,12639500,115.87
2010-05-24,125.26,126.02,124.04,124.45,6868600,114.97
2010-05-25,121.47,124.95,121.47,124.52,9494800,115.03
2010-05-26,124.89,125.94,123,123.23,9083200,113.84
2010-05-27,125.05,126.39,124.77,126.39,7725900,116.76
2010-05-28,125.96,126.28,124.29,125.26,7421900,115.72
2010-06-01,124.69,126.88,124.2,124.34,7135400,114.87
2010-06-02,124.85,127.5,124.35,127.41,7705300,117.7
2010-06-03,127.75,128.22,126.46,127.96,6645300,118.21
2010-06-04,126.37,127.1,124.67,125.28,9669200,115.74
2010-06-07,125.57,125.86,124.13,124.13,6951400,114.67
2010-06-08,124.26,124.46,122.82,123.72,8399200,114.3
2010-06-09,124.83,125.84,123.58,123.9,7795500,114.46
2010-06-10,125.99,128.22,125.8,127.68,7479700,117.95
2010-06-11,126.73,128.8,126.44,128.45,5820200,118.67
2010-06-14,128.5,129.97,128.49,128.5,6753000,118.71
2010-06-15,128.93,129.95,128.37,129.79,6652500,119.9
2010-06-16,128.34,130.68,128.34,130.35,6401000,120.42
2010-06-17,130.07,131.03,129.86,130.98,5571000,121
2010-06-18,131.02,131.25,130.13,130.15,9581400,120.24
2010-06-21,131.42,131.94,130.22,130.65,6857800,120.7
2010-06-22,130.37,131.47,129.07,129.3,6030200,119.45
2010-06-23,129.25,131.47,129.09,130.11,6855800,120.2
2010-06-24,129.57,129.73,127.7,128.19,5565500,118.43
2010-06-25,128.34,129.1,127.12,127.12,10420400,117.44
2010-06-28,127.65,129.47,127.22,128.98,6335100,119.16
2010-06-29,127.35,128.4,124.12,125.09,9376200,115.56
2010-06-30,124.83,125.22,123,123.48,8018000,114.07
2010-07-01,123.55,124.21,121.61,122.57,9742100,113.23
2010-07-02,123.29,123.29,120.61,121.86,6454500,112.58
2010-07-06,123.58,124.63,122.17,123.46,6348700,114.06
2010-07-07,123.47,127.12,123.47,127,7090300,117.33
2010-07-08,127.37,128.15,126.74,127.97,5439300,118.22
2010-07-09,127.9,128.2,127.29,127.96,3898000,118.21
2010-07-12,127.37,128.83,127.16,128.67,4206900,118.87
2010-07-13,128.97,130.98,128.69,130.48,6687700,120.54
2010-07-14,129.32,131.6,129.14,130.72,6607200,120.76
2010-07-15,129.87,130.92,129.55,130.72,6186800,120.76
2010-07-16,129.96,130.15,127.85,128.03,7002900,118.28
2010-07-19,128.67,130.38,128.37,129.79,8388600,119.9
2010-07-20,122.97,126.56,122.93,126.55,16337400,116.91
2010-07-21,126.44,126.5,124.62,125.27,8615500,115.73
2010-07-22,126.32,127.78,126.05,127.47,6909000,117.76
2010-07-23,127.3,128.8,127,128.38,5078000,118.6
2010-07-26,128.18,128.43,127.14,128.41,5174900,118.63
2010-07-27,128.78,129.17,127.89,128.63,4648200,118.83
2010-07-28,128.67,129.35,127.88,128.43,4248800,118.65
2010-07-29,129.06,129.5,127.14,128.02,8994200,118.27
2010-07-30,127.43,128.98,127.04,128.4,6021000,118.62
2010-08-02,129.25,131.2,129.25,130.76,6437500,120.8
2010-08-03,130.03,131.04,129.33,130.37,5091800,120.44
2010-08-04,130.46,131.5,129.85,131.27,4567500,121.27
2010-08-05,130.73,131.98,130.53,131.83,4520600,121.79
