Date,6M ,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
11/20/2012,3.2,3.19,3.175,3.16,3.195,3.265,3.33,3.5,3.66
11/19/2012,3.19,3.17,3.17,3.14,3.175,3.245,3.315,3.48,3.645
11/16/2012,3.19,3.16,3.145,3.11,3.1425,3.21,3.285,3.44,3.6
11/15/2012,3.19,3.16,3.14,3.11,3.145,3.2025,3.2775,3.435,3.61
11/14/2012,3.19,3.16,3.14,3.11,3.145,3.2025,3.2775,3.435,3.61
11/13/2012,3.175,3.15,3.125,3.1,3.135,3.195,3.26,3.41,3.565
11/12/2012,3.175,3.15,3.125,3.1,3.135,3.195,3.26,3.41,3.565
11/9/2012,3.175,3.15,3.125,3.1,3.14,3.195,3.255,3.41,3.565
11/8/2012,3.14,3.1,3.1,3.045,3.08,3.145,3.215,3.375,3.53
11/7/2012,3.14,3.09,3.08,3.035,3.07,3.14,3.21,3.365,3.52
11/6/2012,3.14,3.09,3.085,3.045,3.07,3.145,3.215,3.385,3.555
11/5/2012,3.16,3.11,3.08,3.035,3.0775,3.1575,3.22,3.395,3.555
11/2/2012,3.16,3.12,3.09,3.04,3.0775,3.1575,3.23,3.395,3.545
11/1/2012,3.145,3.095,3.085,3.035,3.08,3.16,3.23,3.395,3.55
10/31/2012,3.18,3.155,3.13,3.09,3.13,3.205,3.275,3.44,3.595
10/30/2012,3.185,3.155,3.13,3.085,3.13,3.205,3.28,3.44,3.59
10/29/2012,3.185,3.155,3.13,3.09,3.14,3.2,3.28,3.44,3.595
10/26/2012,3.185,3.155,3.135,3.11,3.16,3.23,3.31,3.475,3.625
10/25/2012,3.185,3.155,3.135,3.11,3.16,3.23,3.31,3.475,3.625
10/24/2012,3.175,3.14,3.12,3.09,3.13,3.2,3.285,3.445,3.6
10/23/2012,3.175,3.14,3.12,3.09,3.13,3.21,3.28,3.445,3.6
10/22/2012,3.15,3.13,3.12,3.09,3.125,3.205,3.27,3.425,3.575
10/19/2012,3.15,3.13,3.115,3.09,3.13,3.2,3.275,3.43,3.585
10/18/2012,3.175,3.155,3.14,3.11,3.145,3.215,3.285,3.44,3.6
10/17/2012,3.175,3.155,3.135,3.09,3.13,3.195,3.26,3.42,3.57
10/16/2012,3.175,3.155,3.145,3.11,3.14,3.19,3.26,3.425,3.56
10/15/2012,3.175,3.155,3.145,3.1,3.135,3.185,3.24,3.41,3.53
10/12/2012,3.17,3.165,3.145,3.115,3.145,3.2,3.265,3.42,3.56
10/11/2012,3.17,3.165,3.145,3.1,3.115,3.17,3.235,3.385,3.53
10/10/2012,3.18,3.165,3.155,3.115,3.145,3.2,3.26,3.42,3.565
10/9/2012,3.18,3.18,3.155,3.125,3.155,3.225,3.29,3.455,3.605
10/8/2012,3.18,3.18,3.17,3.14,3.175,3.245,3.31,3.475,3.625
10/5/2012,3.185,3.18,3.17,3.13,3.165,3.23,3.3,3.455,3.605
10/4/2012,3.18,3.18,3.16,3.12,3.155,3.22,3.285,3.435,3.595
10/3/2012,3.18,3.18,3.16,3.13,3.17,3.23,3.295,3.445,3.615
10/2/2012,3.205,3.2,3.175,3.15,3.185,3.26,3.33,3.495,3.665
10/1/2012,3.2,3.2,3.18,3.155,3.195,3.265,3.34,3.505,3.665
