Index,Indicator,Up,Down,Forecasts,ar,ma,p,q
1952-08-25,-1,0,-1,-0.000510421529512827,5,1,1,1
1952-08-26,-1,0,-1,-0.000238401159806831,2,0,1,1
1952-08-27,1,1,0,0.000995400684585727,2,4,1,1
1952-08-28,1,1,0,0.00132439945337003,2,0,1,1
1952-08-29,1,1,0,0.000275039292281728,2,5,1,1
1952-09-02,1,1,0,0.000665343301613829,2,4,1,1
1952-09-03,1,1,0,0.000935552069515221,4,2,1,1
1952-09-04,1,1,0,0.000660876557545894,1,5,1,1
1952-09-05,-1,0,-1,-0.000150498713305846,1,5,1,1
1952-09-08,1,1,0,0.00032262827804133,2,5,1,1
1952-09-09,-1,0,-1,-0.000308018283251904,2,5,1,1
1952-09-10,-1,0,-1,-0.000507671372711096,3,1,1,1
1952-09-11,1,1,0,0.000668607579020759,0,3,1,1
1952-09-12,1,1,0,0.000831541817467041,5,3,1,1
1952-09-15,1,1,0,0.00118621479112542,2,4,1,1
1952-09-16,-1,0,-1,-0.00126950178035223,2,4,1,1
1952-09-17,1,1,0,0.00109904924659224,2,4,1,1
1952-09-18,1,1,0,0.000670958163089992,4,2,1,1
1952-09-19,-1,0,-1,-0.000476045202315826,5,2,1,1
1952-09-22,1,1,0,0.000536898761161975,5,1,1,1
1952-09-23,1,1,0,0.000352221137977835,5,4,1,1
1952-09-24,1,1,0,0.000872866362388466,0,4,1,1
1952-09-25,1,1,0,0.000431600802889592,0,3,1,1
1952-09-26,-1,0,-1,-0.000256261548326327,3,5,1,1
1952-09-29,-1,0,-1,-0.000449249986142576,4,1,1,1
1952-09-30,1,1,0,0.000662685676972585,1,5,1,1
1952-10-01,-1,0,-1,-0.000440807670863508,1,4,1,1
1952-10-02,1,1,0,0.000627283481273445,2,5,1,1
1952-10-03,1,1,0,0.000923918473322064,3,4,1,1
1952-10-06,-1,0,-1,-3.69623877209196e-05,4,2,1,1
1952-10-07,-1,0,-1,-0.000244825693355268,3,5,1,1
1952-10-08,-1,0,-1,-0.000529735331470347,5,2,1,1
1952-10-09,1,1,0,0.00189186081619629,4,2,1,1
1952-10-10,1,1,0,6.20189268308504e-05,5,3,1,1
1952-10-14,1,1,0,0.000168431894904572,5,4,1,1
1952-10-15,-1,0,-1,-0.000130477735311095,3,0,1,1
1952-10-16,-1,0,-1,-0.00254942841378261,4,2,1,1
1952-10-17,1,1,0,0.00191755404900106,2,5,1,1
1952-10-20,1,1,0,0.00320034970605102,2,0,1,1
1952-10-21,-1,0,-1,-0.001338414221564,4,2,1,1
1952-10-22,-1,0,-1,-0.000281076406755499,1,5,1,1
1952-10-23,-1,0,-1,-0.00079912977355632,5,3,1,1
1952-10-24,1,1,0,0.00273698921391241,2,5,1,1
1952-10-27,1,1,0,0.000521332161450246,5,1,1,1
1952-10-28,-1,0,-1,-0.0013291832310348,3,3,1,1
1952-10-29,-1,0,-1,-4.99899665386977e-05,5,2,1,1
1952-10-30,1,1,0,0.00165414210546122,3,5,1,1
1952-10-31,1,1,0,0.000333468773273534,5,1,1,1
