Date,10D,30D,60D,90D,120D,150D,180D
9/20/2010,0.4413,0.4673,0.502,0.5423,0.5743,0.6057,0.6436
9/18/2010,0.4413,0.4673,0.502,0.5423,0.5743,0.6057,0.6436
9/17/2010,0.4413,0.4673,0.502,0.5423,0.5743,0.6057,0.6436
9/16/2010,0.4413,0.4673,0.502,0.5423,0.5743,0.6057,0.6436
9/15/2010,0.4413,0.4673,0.502,0.5423,0.5743,0.6057,0.6436
9/14/2010,0.4413,0.4673,0.502,0.5423,0.5743,0.6057,0.6436
9/13/2010,0.442,0.4677,0.5027,0.543,0.5743,0.6057,0.6436
9/11/2010,0.4464,0.4725,0.5079,0.5475,0.5781,0.6077,0.6469
9/10/2010,0.4464,0.4725,0.5079,0.5475,0.5781,0.6077,0.6469
9/9/2010,0.442,0.4677,0.5027,0.543,0.5743,0.6057,0.6436
9/8/2010,0.4414,0.4654,0.4993,0.5407,0.5723,0.6062,0.645
9/7/2010,0.442,0.4677,0.5027,0.543,0.5743,0.6057,0.6436
9/6/2010,0.442,0.4677,0.5027,0.543,0.5743,0.6057,0.6436
9/4/2010,0.442,0.4677,0.5027,0.543,0.5743,0.6057,0.6436
9/3/2010,0.442,0.4677,0.5027,0.543,0.5743,0.6057,0.6436
9/2/2010,0.4421,0.4675,0.5021,0.5418,0.5723,0.6031,0.6408
9/1/2010,0.442,0.4677,0.5027,0.543,0.5743,0.6057,0.6436
8/31/2010,0.442,0.4677,0.5027,0.543,0.5743,0.6057,0.6436
8/30/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/28/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/27/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/26/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/25/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/24/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/23/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/21/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/20/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/19/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/18/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/17/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/16/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/14/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/13/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/12/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/11/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/10/2010,0.4429,0.4689,0.5043,0.5475,0.5781,0.6077,0.6469
8/9/2010,0.4429,0.4689,0.5043,0.5475,0.5781,0.6077,0.6469
8/7/2010,0.4386,0.4639,0.4986,0.5418,0.5723,0.6031,0.6408
8/6/2010,0.4386,0.4639,0.4986,0.5418,0.5723,0.6031,0.6408
8/5/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/4/2010,0.4387,0.4643,0.4993,0.543,0.5743,0.6057,0.6436
8/3/2010,0.438,0.4637,0.4977,0.5417,0.5739,0.6054,0.6432
8/2/2010,0.438,0.4637,0.4973,0.5417,0.5739,0.6054,0.6432
7/31/2010,0.435,0.4611,0.4971,0.5379,0.5719,0.6019,0.6388
7/30/2010,0.435,0.4611,0.4971,0.5379,0.5719,0.6019,0.6388
7/29/2010,0.438,0.4637,0.4973,0.5417,0.5739,0.6054,0.6432
7/28/2010,0.438,0.4603,0.494,0.5383,0.5739,0.6054,0.645
7/27/2010,0.4364,0.4596,0.4929,0.5368,0.5719,0.6027,0.6423
7/26/2010,0.4367,0.4603,0.494,0.5383,0.5739,0.6054,0.645
7/24/2010,0.4357,0.4593,0.4933,0.5377,0.5736,0.6054,0.645
7/23/2010,0.4357,0.4593,0.4933,0.5377,0.5736,0.6054,0.645
7/22/2010,0.4357,0.4593,0.4933,0.5377,0.5736,0.6054,0.645
7/21/2010,0.4357,0.4593,0.4933,0.5377,0.5736,0.6054,0.645
7/20/2010,0.4357,0.4593,0.4927,0.5377,0.5736,0.6054,0.645
7/19/2010,0.4357,0.4593,0.4927,0.5377,0.5736,0.6054,0.645
7/17/2010,0.4396,0.4636,0.4971,0.5418,0.5773,0.6077,0.6485
7/16/2010,0.4396,0.4636,0.4971,0.5418,0.5773,0.6077,0.6485
7/15/2010,0.4396,0.4636,0.4971,0.5418,0.5773,0.6077,0.6485
7/14/2010,0.4357,0.4593,0.4927,0.5377,0.5736,0.6054,0.645
7/13/2010,0.4357,0.4593,0.4927,0.5377,0.5736,0.6054,0.645
7/12/2010,0.434,0.458,0.4927,0.5377,0.5736,0.6054,0.645
7/10/2010,0.434,0.458,0.4927,0.5377,0.5736,0.6054,0.645
7/9/2010,0.434,0.458,0.4927,0.5377,0.5736,0.6054,0.645
7/8/2010,0.434,0.458,0.4927,0.5377,0.5736,0.6054,0.645
7/7/2010,0.434,0.458,0.4927,0.5393,0.5736,0.6054,0.645
7/6/2010,0.434,0.458,0.4927,0.5393,0.5736,0.6054,0.645
7/5/2010,0.434,0.458,0.4927,0.5393,0.5736,0.6054,0.645
7/3/2010,0.434,0.458,0.4927,0.5393,0.5736,0.6054,0.645
7/2/2010,0.434,0.458,0.4927,0.5393,0.5736,0.6054,0.645
7/1/2010,0.4379,0.4636,0.4971,0.5436,0.5773,0.6073,0.6485
6/30/2010,0.434,0.458,0.4927,0.5393,0.5736,0.6054,0.645
6/29/2010,0.434,0.458,0.4927,0.5393,0.5736,0.6054,0.645
6/28/2010,0.4363,0.4583,0.4943,0.5407,0.5746,0.6064,0.6457
6/26/2010,0.4417,0.4633,0.4979,0.5442,0.5729,0.6025,0.6417
6/25/2010,0.4417,0.4633,0.4979,0.5442,0.5729,0.6025,0.6417
6/24/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6146
6/23/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6146
6/22/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6146
6/21/2010,0.3971,0.4179,0.4593,0.5132,0.5423,0.5785,0.6173
6/19/2010,0.3973,0.4167,0.4587,0.5123,0.5393,0.58,0.6161
6/18/2010,0.3973,0.4167,0.4587,0.5123,0.5393,0.58,0.6161
6/17/2010,0.4004,0.42,0.4614,0.5136,0.5423,0.5808,0.6196
6/16/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6146
6/15/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6146
6/14/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6146
6/12/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6146
6/11/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6146
6/10/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6146
6/9/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6146
6/8/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6146
6/7/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6129
6/5/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6129
6/4/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6129
6/3/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6129
6/2/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6129
6/1/2010,0.3921,0.4093,0.4521,0.5064,0.5327,0.5731,0.6062
5/31/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6129
5/29/2010,0.3971,0.4179,0.4593,0.5132,0.5423,0.5785,0.6154
5/28/2010,0.3971,0.4179,0.4593,0.5132,0.5423,0.5785,0.6154
5/27/2010,0.396,0.4153,0.4573,0.511,0.5393,0.5786,0.6129
5/26/2010,0.3921,0.4104,0.4529,0.5064,0.5327,0.5731,0.6062
5/25/2010,0.3927,0.4093,0.454,0.5077,0.5361,0.575,0.6129
5/24/2010,0.3927,0.4093,0.454,0.5077,0.5361,0.575,0.6129
5/22/2010,0.3939,0.4075,0.4575,0.5118,0.5385,0.575,0.6119
5/21/2010,0.3939,0.4075,0.4575,0.5118,0.5385,0.575,0.6119
5/20/2010,0.3939,0.4075,0.4575,0.5118,0.5385,0.575,0.6119
5/19/2010,0.3977,0.4137,0.4623,0.516,0.5446,0.5804,0.6182
5/18/2010,0.399,0.415,0.4637,0.5173,0.5446,0.5818,0.6196
5/17/2010,0.3977,0.4137,0.4623,0.516,0.5446,0.5804,0.6182
5/15/2010,0.3977,0.4137,0.4623,0.516,0.5446,0.5804,0.6182
5/14/2010,0.3977,0.4137,0.4623,0.516,0.5446,0.5804,0.6182
5/13/2010,0.3989,0.4161,0.4646,0.5186,0.5481,0.5804,0.6212
5/12/2010,0.3977,0.4137,0.4623,0.516,0.5446,0.5804,0.6182
5/11/2010,0.3977,0.4137,0.4623,0.516,0.5446,0.5804,0.6182
5/10/2010,0.398,0.414,0.4623,0.5157,0.5446,0.5804,0.6182
5/8/2010,0.3954,0.41,0.4596,0.5138,0.5417,0.5746,0.6146
5/7/2010,0.3954,0.41,0.4596,0.5138,0.5417,0.5746,0.6146
5/6/2010,0.398,0.414,0.4623,0.5157,0.5446,0.5804,0.6182
5/5/2010,0.398,0.414,0.4623,0.5157,0.5446,0.5804,0.6182
5/4/2010,0.3943,0.4079,0.4575,0.5114,0.5385,0.575,0.6119
5/3/2010,0.3943,0.4079,0.4575,0.5114,0.5385,0.575,0.6119
5/1/2010,0.398,0.414,0.4623,0.5157,0.5446,0.5804,0.6182
4/30/2010,0.398,0.414,0.4623,0.5157,0.5446,0.5804,0.6182
4/29/2010,0.398,0.414,0.4623,0.5157,0.5446,0.5804,0.6182
4/28/2010,0.3943,0.4082,0.4579,0.5114,0.5385,0.575,0.6119
4/27/2010,0.3987,0.4143,0.4627,0.5157,0.5446,0.5804,0.6182
4/26/2010,0.3925,0.4093,0.4571,0.5079,0.5331,0.5712,0.61
4/24/2010,0.3953,0.417,0.4637,0.514,0.5418,0.5786,0.6182
4/23/2010,0.3953,0.417,0.4637,0.514,0.5418,0.5786,0.6182
4/22/2010,0.3953,0.417,0.4637,0.514,0.5418,0.5786,0.6182
4/21/2010,0.3953,0.417,0.4637,0.514,0.5418,0.5786,0.6182
4/20/2010,0.3953,0.417,0.4637,0.514,0.5418,0.5786,0.6182
4/19/2010,0.393,0.4177,0.4637,0.514,0.5418,0.5786,0.6193
4/17/2010,0.3879,0.4118,0.4589,0.5096,0.5354,0.5731,0.6131
4/16/2010,0.3879,0.4118,0.4589,0.5096,0.5354,0.5731,0.6131
4/15/2010,0.393,0.4177,0.4637,0.514,0.5418,0.5786,0.6193
4/14/2010,0.393,0.416,0.4633,0.5107,0.5382,0.575,0.6157
4/13/2010,0.393,0.416,0.4633,0.5107,0.5382,0.575,0.6157
4/12/2010,0.3987,0.4177,0.466,0.514,0.5411,0.5793,0.6157
4/10/2010,0.4004,0.4158,0.4669,0.5123,0.5396,0.5779,0.6142
4/9/2010,0.4004,0.4158,0.4669,0.5123,0.5396,0.5779,0.6142
4/8/2010,0.3983,0.4157,0.467,0.5153,0.5425,0.5807,0.6171
4/7/2010,0.3968,0.4154,0.4668,0.515,0.5442,0.5777,0.6169
4/6/2010,0.3943,0.415,0.4663,0.5147,0.5418,0.58,0.6164
4/5/2010,0.3943,0.415,0.4663,0.5147,0.5418,0.58,0.6164
4/3/2010,0.3943,0.415,0.4663,0.5147,0.5418,0.58,0.6164
4/2/2010,0.3943,0.415,0.4663,0.5147,0.5418,0.58,0.6164
4/1/2010,0.394,0.4147,0.466,0.5143,0.5414,0.5796,0.6161
3/31/2010,0.3985,0.4185,0.4715,0.5162,0.5454,0.5796,0.6204
3/30/2010,0.399,0.4213,0.4673,0.5127,0.5393,0.5775,0.6143
3/29/2010,0.399,0.4213,0.4673,0.5127,0.5393,0.5775,0.6143
3/27/2010,0.3967,0.419,0.464,0.51,0.5357,0.5768,0.6125
3/26/2010,0.3967,0.419,0.464,0.51,0.5357,0.5768,0.6125
3/25/2010,0.3911,0.4129,0.4593,0.505,0.5304,0.5688,0.6035
3/24/2010,0.3963,0.413,0.4623,0.5063,0.5354,0.5779,0.6125
3/23/2010,0.3937,0.411,0.46,0.504,0.5329,0.5782,0.615
3/22/2010,0.39,0.407,0.455,0.499,0.53,0.5746,0.6132
3/20/2010,0.3863,0.4053,0.45,0.4923,0.5246,0.5746,0.6204
3/19/2010,0.3863,0.4053,0.45,0.4923,0.5246,0.5746,0.6204
3/18/2010,0.3833,0.403,0.4477,0.49,0.5229,0.5721,0.6175
3/17/2010,0.3833,0.403,0.4477,0.49,0.5229,0.5721,0.6175
3/16/2010,0.3886,0.4068,0.4507,0.4946,0.5265,0.5758,0.6227
3/15/2010,0.3779,0.3979,0.4414,0.4839,0.5169,0.5662,0.6112
3/13/2010,0.382,0.4023,0.4463,0.489,0.5229,0.5704,0.6175
3/12/2010,0.382,0.4023,0.4463,0.489,0.5229,0.5704,0.6175
3/11/2010,0.3807,0.4017,0.4453,0.4877,0.5218,0.5696,0.6154
3/10/2010,0.3739,0.3954,0.4379,0.4814,0.5162,0.5642,0.6096
3/9/2010,0.3829,0.3971,0.4396,0.4814,0.5162,0.5642,0.6096
3/8/2010,0.379,0.4007,0.4453,0.4877,0.5221,0.5704,0.6161
3/6/2010,0.3846,0.4043,0.4489,0.4921,0.5258,0.5758,0.6212
3/5/2010,0.3846,0.4043,0.4489,0.4921,0.5258,0.5758,0.6212
3/4/2010,0.379,0.4007,0.4453,0.4877,0.5221,0.5704,0.6161
3/3/2010,0.379,0.4007,0.4453,0.4877,0.5221,0.5704,0.6161
3/2/2010,0.3846,0.4043,0.4471,0.4921,0.5258,0.5758,0.6212
3/1/2010,0.379,0.4007,0.4437,0.4877,0.5221,0.5704,0.6161
2/27/2010,0.379,0.4007,0.4437,0.4877,0.5221,0.5704,0.6161
2/26/2010,0.379,0.4007,0.4437,0.4877,0.5221,0.5704,0.6161
2/25/2010,0.3779,0.4011,0.4436,0.4871,0.5242,0.5685,0.6177
