Date,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y
12/5/2013,0.908,0.983,1.113,1.243,1.365,1.563,1.785,1.868,2.1
12/4/2013,0.915,0.99,1.11,1.225,1.365,1.565,1.77,1.868,2.1
12/3/2013,0.915,0.985,1.115,1.225,1.365,1.565,1.77,1.87,2.1
12/2/2013,0.915,0.985,1.11,1.22,1.36,1.565,1.77,1.87,2.1
11/29/2013,0.915,0.985,1.11,1.22,1.36,1.565,1.77,1.943,2.1
11/28/2013,0.915,0.99,1.1,1.22,1.335,1.55,1.75,1.838,2.1
11/27/2013,0.915,0.98,1.1,1.22,1.34,1.55,1.775,1.875,2.1
11/26/2013,0.923,0.983,1.095,1.228,1.345,1.55,1.775,1.875,2.1
11/25/2013,0.925,0.985,1.11,1.24,1.36,1.565,1.79,1.945,2.1
11/22/2013,0.925,0.985,1.11,1.24,1.36,1.57,1.795,1.89,2.1
11/21/2013,0.925,0.985,1.115,1.25,1.37,1.57,1.795,1.893,2.1
11/20/2013,0.935,0.995,1.115,1.24,1.365,1.57,1.78,1.945,2.1
11/19/2013,0.935,0.99,1.115,1.235,1.36,1.565,1.78,1.893,2.1
11/18/2013,0.93,0.995,1.115,1.245,1.37,1.575,1.79,1.875,2.1
11/15/2013,0.935,0.995,1.115,1.245,1.375,1.575,1.785,1.883,2.1
11/14/2013,0.935,1,1.115,1.235,1.36,1.555,1.775,1.873,2.1
11/13/2013,0.935,1,1.115,1.25,1.375,1.575,1.79,1.888,2.1
11/12/2013,0.935,1,1.13,1.255,1.37,1.575,1.795,1.89,2.1
11/11/2013,0.93,0.995,1.115,1.225,1.345,1.545,1.76,1.925,2.05
11/8/2013,0.93,0.985,1.1,1.195,1.31,1.505,1.7,1.775,2.05
11/7/2013,0.93,0.985,1.09,1.185,1.295,1.495,1.7,1.775,2.05
11/6/2013,0.92,0.99,1.095,1.205,1.31,1.505,1.715,1.775,2.05
11/5/2013,0.925,0.985,1.09,1.195,1.3,1.505,1.715,1.823,2.05
11/4/2013,0.93,0.99,1.09,1.2,1.31,1.505,1.715,1.83,2.05
11/1/2013,0.925,0.98,1.08,1.18,1.29,1.48,1.695,1.855,2.05
10/31/2013,0.93,0.98,1.07,1.165,1.265,1.45,1.66,1.733,1.975
10/30/2013,0.925,0.97,1.06,1.155,1.255,1.435,1.65,1.77,2.275
10/29/2013,0.918,0.985,1.075,1.168,1.27,1.46,1.67,1.78,2.275
10/28/2013,0.925,0.98,1.07,1.17,1.27,1.455,1.66,1.755,2.275
10/25/2013,0.918,0.97,1.07,1.17,1.265,1.445,1.645,1.788,2.275
10/24/2013,0.923,0.978,1.073,1.17,1.263,1.443,1.64,1.783,2.275
10/23/2013,0.923,0.973,1.065,1.165,1.255,1.433,1.64,1.778,2.275
10/22/2013,0.93,0.985,1.1,1.2,1.295,1.48,1.685,1.818,2.275
10/21/2013,0.923,0.98,1.09,1.195,1.295,1.483,1.683,1.83,2.275
10/18/2013,0.93,0.98,1.093,1.195,1.3,1.485,1.688,1.835,2.275
10/17/2013,0.94,0.993,1.105,1.22,1.325,1.513,1.725,1.863,2.275
10/16/2013,0.94,1.003,1.135,1.245,1.345,1.535,1.748,1.878,2.275
10/15/2013,0.94,1.003,1.128,1.248,1.358,1.543,1.753,1.865,2.275
10/14/2013,0.94,1,1.125,1.235,1.345,1.53,1.733,1.89,2.275
10/11/2013,0.94,1.003,1.133,1.238,1.348,1.52,1.73,1.865,2.275
10/10/2013,0.95,1,1.12,1.23,1.335,1.51,1.715,1.865,2.275
10/9/2013,0.94,1,1.123,1.23,1.34,1.51,1.73,1.833,2.275
10/8/2013,0.94,0.993,1.115,1.225,1.325,1.5,1.715,1.85,2.275
10/7/2013,0.94,0.99,1.11,1.225,1.323,1.5,1.7,1.865,2.275
10/4/2013,0.94,0.993,1.11,1.225,1.325,1.51,1.705,1.848,2.275
10/3/2013,0.943,1,1.123,1.23,1.335,1.523,1.738,1.818,2.275
10/2/2013,0.945,1.013,1.13,1.24,1.348,1.53,1.738,1.863,2.275
10/1/2013,0.948,1.02,1.15,1.258,1.375,1.548,1.76,1.883,2.275
9/30/2013,0.948,1.02,1.14,1.253,1.36,1.543,1.743,1.868,2.275
9/27/2013,0.95,1.028,1.158,1.27,1.385,1.58,1.79,1.9,2.275
9/26/2013,0.95,0.995,1.11,1.215,1.32,1.5,1.705,1.833,2.275
